id,Publish Time,Last Update Time,Category,Author,Discription,Text
228552,2018-08-28T19:43:00+08:00,2018-08-28T20:46:29+08:00,突發,彭愷欣,,"消息指，港大校委會成員張祺忠疑殺妻被捕。早前張祺忠向警方指妻子失蹤，警方經調查後，將張祺忠拘捕，他涉嫌謀殺妻子。據悉，第一現場為港大職員宿舍，事後他再將屍體移去辦公室。警方正就事件進行調查。,據了解，張祺忠是港大偉倫堂舍監，一家人居於偉倫堂。本月20日，他向警方報稱妻子失蹤，表示數日前跟太太吵架，太太離家出走沒再回家，警方接手調查時發現有不妥，因找不到她離家的證據，港島總區重案組於是接手調查，經深入偵查後，今午在他的辦公室找到其妻子的屍體。警方初步相信，偉倫堂有機會是兇案第一現場，其後他將屍體移至其辦公室內，由於屍體已發漲，死因未明，殺人動機也有待調查。,警方將於晚上9點就案件交代詳情。"
228549,2018-08-28T20:00:00+08:00,2018-08-28T19:50:19+08:00,財經快訊,陳嘉碧,,"早前康宏（1019）主要股東、佳兆業（1638）少東郭曉群入稟高院要求推翻去年底康宏股東特別大會（EGM）結果一案，於昨日（27日）開庭審理。,郭曉群以證人身分出席審訊，而郭曉群的父親、佳兆業主席郭英成亦陪同出席，坐在旁聽席。,今日於佳兆業業績會上被問到出席康宏案件審理一事，郭英成表示：「老竇支持個仔係好正常嘅事，我精力充沛，一日可以做18個鐘，我好多時間嘅。」至於會否再出席審理或作供，他表示會看時間，對兒子「做乜都支持」。"
228548,2018-08-28T19:36:00+08:00,2018-08-28T20:13:11+08:00,財經快訊,鄺月婷,,"剛於今年初退休的長和系創辦人李嘉誠，再次整理手上資產。,據聯交所權益披露顯示，李嘉誠在上周四（23日）將私人持有約6,600萬股、市值近60億元長和（0001）股權轉讓予李嘉誠家族信託，交易完成後，李嘉誠私人持有的長和股份降至70.78萬股。,長和主席李澤鉅與李嘉誠分別在家族信託擁有66.67%及33.33%權益，交易完成後，由於李嘉誠家族信託持有長和股權增加，李澤鉅應佔長和股權由28.44%，增加至30.15%。,資料顯示，李嘉誠為家族信託的財產授予人，而信託的可能受益人包括李澤鉅及他的妻子與子女，以及李澤楷。,由於李嘉誠根據證券及期貨條例可能被視為家族信託的成立人，而李澤鉅則為可能受益人，並身為公司董事，因此兩人需要就持有長和股份申報權益。"
228546,2018-08-28T20:26:00+08:00,2018-08-28T20:27:15+08:00,社會新聞,鄺曉斌,瑪麗醫院五名接受器官移植的病人同時感染戊型肝炎病毒，初步懷疑捐贈的器官是傳染途徑，其中一位受贈病人早前因其他疾病離世。,"醫管局指，專家小組成員包括微生物學家、肝臟專家、器官移植及傳染病專家，小組會評估為器官捐贈者引進戊型肝炎檢測的效用及可行性。縱使現時並無方法完全杜絕器官移植過程中感染傳染病的風險，專家小組亦會考慮擬訂臨床治理指引，當確認捐贈者屬隱性戊型肝炎患者時，在術後適時為器官受贈者安排所需治療。,事件中接受心臟、肝臟及兩個腎臟移植的四名器官受贈者，已獲告知有關發現及獲安排適切的抗病毒治療。四名病人情況穩定，其中三名病人已出院，有關醫院會密切監察各病人的情況。而早前離世的肺部移植患者個案，將會轉交死因裁判官跟進。,醫管局表示，再次衷心感謝器官捐贈者的無私奉獻，並已將有關發現通知捐贈者家人。,香港大學醫學院微生物學講座教授袁國勇、港島西醫院聯網總監陸志聰今日（28日）召開記者會交代事件始末。袁國勇指出，相信五人都是從器官捐贈者感染戊型肝炎，又指今次是全球首宗因器官捐贈的戊肝爆發個案。"
228544,2018-08-28T19:55:00+08:00,2018-08-28T19:32:51+08:00,大國小事,葉琪,,"為了做網紅可以去到幾盡？貴州銅仁有4名孩童，近日發現當地一處高速公路隧道的入口燈光通明，有助拍攝效果。為了在朋友間及社交平台上「呃like」，一嘗成為「網紅」的滋味，４人竟趁深夜大搖大擺在路中央擺甫士自拍。,交警接獲報案後立即趕往現場處理，又透過隧道廣播警告眾人盡快離開。該4名孩童事後被警方批評教育後，均表示再也不敢到高速公路上胡作非為。,（央視新聞）"
228542,2018-08-28T19:04:00+08:00,2018-08-28T19:04:57+08:00,社會新聞,林樂兒,中大副教授許金山涉嫌以注滿一氧化碳的瑜伽球謀殺妻女案續審，控方繼續播被告與警方的會面錄影，被告向警方承認是他親手向兩個瑜伽球注入氣體，因覺該球堅韌難刮損，適合載氣，又指他有把該球放在健身器材附近，更指次女知道該氣球會用來滅蟲感開心。惟他翌日已發現其中一球漏氣，他亦即把氣體放掉。他亦知若讓人知道他把注滿毒氣氣球帶走，會為實驗人員添麻煩，故一直未有說出。,"被告許金山，53歲，在中大醫學院麻醉及深切治療學系任副教授。他被控2項謀殺罪，案情指他於2015年5月22日，涉嫌以注滿一氧化碳的瑜伽波謀殺妻子黃秀芬（47歲）及次女許儷玲（Lily，16歲）。,被告稱前一晚買了6至7個探測器，並將載有一氧化碳的瑜伽球帶回家，他以健身器材圍著球，被告更向警員繪圖說明放置的位置。他警告Lily該球有毒，會於周末用來滅鼠。他認為瑜伽球堅韌難刮損，適合載氣，並說Lily怕動物昆蟲，知他將會殺鼠感到高興。,被告案發前2日在中大做一氧化碳研究，以經費訂購氣體，並買了他承認從家中取了2個沒有注氣的灰色球，在實驗室親手注氣泵滿。當時實驗已完結，只有一名研究人員出入實驗室。被告稱，他把2個瑜伽球和2個一氧化碳探測器帶上黑色Toyota七人車，翌日放工發現其中一球洩氣，便立即打開車門，將該球放氣。,警員指，案發當日已向被告表示其妻女一氧化碳中毒身亡，但他沒說瑜伽球不見了。被告回應，他害怕承認帶毒球回家後的後果，知道他和實驗人員會有很多麻煩，又擔心被捕後未能照顧子女。他謂，覺得自己懦弱，感到慚愧。,案件明續。,案件編號：HCCC374/2017"
228541,2018-08-28T19:45:00+08:00,2018-08-28T19:29:10+08:00,財經快訊,許世豪,,"中國恒大（3333）上半年盈利增長逾60%，至308億元（人民幣‧下同）。行政總裁夏海鈞表示，恒大過去多年積累大量土地，現時一、二線佔整體土儲68%，每平方米平均樓面地價為2,092元；三、四線佔32%，每平方米樓面地價只有1,196元。而上半年合約銷售每立方米的平均價為10,468元，銷售價格上升同時成本下跌，令集團利潤增長表現較同業好。,夏海鈞又表示，集團還清永續債後，亦有助改善利潤表現，加上產品標準化及提升產品附加值的推動下，令集團競爭力上升。,夏海鈞稱，維持恒大5,500億元銷售目標不變。他指，上半年完成了約3,000億元的目標，手上可售資源約7,000億元，集團通常會超預期的實現目標。達到銷售目標後，會維持10%至20%增長幅度目標。,至於恒大回A股上市的計劃，夏海鈞指，一直有與中證監保持密切溝通，相信集團回A對推動市場有好處，惟目前A股較波動，正等待合適時機進行重組上市。,集團於2016年確立了到2018年時，負債率降至140%、2019年中期降到100％，2020年降到70%的目標。夏海鈞認為，70%已是行業合理水平，今年年中負債率降至127.3％，主要因為集團期內引入戰略投資者、償還高息永續債及降低土儲，令總負債下跌，未來土地儲備會維持約3億平方米，以減少負債，又指無意再引入戰略投資者。,土地儲備方面，夏海鈞指會主要集中於一、二線及三線經濟發達城市投地，四線城市則不考慮發展。至於中央政府出台不少措施為內房降溫，相信是過渡手段，將有利房地產平穩發展，期望未來會走向市場化。而隨着宏觀調控，市場會回復正常。,恒大日前宣布就2016及2017年財年利潤派發特別息，每股1.287港元。夏海鈞表示，受中證監條例限制，A股重組前上市利潤歸上市公司股東所有，令集團無法分紅，不過現時已將重組評估基準日由2017年延至今年，因此相關利潤可以分配。2018年利潤則將於未來再分配，派息政策會穩定不變。,對於華人置業（0127）近年於市場密密掃貨，持有恒大約9％的股份。問到對方會如何處埋相關股份，夏海鈞稱恒大目前股值較同業低，認為集團價值仍未充份體現，因此不相信持有恒大股票的人會賣掉。"
228540,2018-08-28T19:04:00+08:00,2018-08-28T20:33:16+08:00,社會新聞,梁煥敏,香港快運（HK Express）今日（28日）宣布，為完善分配企業資源達致更佳的營運效益，將於今年10月27日起，暫停香港與花蓮的航班服務，10月26日或之前出發之香港與花蓮之航班服務，則不受影響。香港快運表示，約2000人受今次停飛影響。,"香港快運今日（28日）宣布，將於今年10月27日起，暫停香港與花蓮的航班服務，所有受影響之旅客可在毋須支付機票差額下，選擇改乘於10月26日或之前出發往來香港與花蓮之航班，但需視乎機位供應情況而定。,此外，若選擇乘搭香港快運的其他航線，必須於2019年4月30日或之前出發，香港快運提醒旅客，將須支付相關票價差額，但如選擇於非特定之旅遊高峰期出發前往台中，則可獲豁免差額，所有預訂需視乎機位供應情況而定，顧客亦可選擇全額退款。,香港快運又提醒旅客，將會以電子郵件及短訊方式作出通知，受影響之旅客可按上述三項安排選擇其一，並於收到通知當日起兩星期內回覆有關選項之決定，詳情亦可透過HK Express之官方Facebook Messenger 查詢，以及致電+852 3902 0299或電郵至guest.relations@hkexpress.com與HK Express客戶服務中心聯絡。"
228539,2018-08-28T18:30:00+08:00,2018-08-28T19:13:28+08:00,地產樓市,陳嘉碧,,"今年上半年樓市升不停，工商舖市亦不例外。美聯工商舖（0459）公布今年中期業績，純利為4,989萬元，按年增加近12%，收益為4.11億元，按年上升31%。,期內回贈支出達1.11億元，按年大增近1倍。美聯工商舖行政總裁黃漢成表示，因應今年一手盤持續拆售，住宅部客源相對較廣，主要回贈是回撥至美聯集團（1200）。,下半年面對加息壓力，對工商舖市場會否造成影響？黃漢成認為，銀行一直收緊工商舖按揭，普遍申請按揭成數約3成左右，即使加息亦相信業主有能力負擔，對其資金和現金流影響不大。,至於貿易戰，他指出工商舖成交有所下跌，惟主因不是令市場信心不足或缺錢，而是貿易戰令買家觀望，減慢入市步伐。黃續稱，若業主以比市價優惠和貼市價出售，將很快成交，亦證明了市場有一定承接力。另外，他相信下半年多個大型基建落成，仍對工商舖市場前景睇高一線。,展望下半年，美聯工商部區域營業董事鄒永堅預計，下半年分層工廈租金有約3至5%的升幅，全年則有6至8%的升幅，主要看好荃灣、葵涌、屯門及長沙灣。,商廈方面，美聯工商舖營運總監兼商業部董事翁鴻祥則表示，今年上半年寫字樓租金和售價均有所提升，但相應地成交亦會縮小。他預計下半年甲級商廈的租金和售價上升5%。乙級商廈的售價約升5至8%，租金則維持平穩，並因應高鐵效應，看好尖沙咀、九龍等商廈會追落後。,至於商舖，美聯旺舖董事盧展豪表示，下半年核心零售鋪租金平穩約升5%，民生商舖同樣是5%升幅。他預料，未來重點是舊樓收購。"
228538,2018-08-28T18:59:00+08:00,2018-08-28T18:59:48+08:00,財經快訊,鄺月婷,,"星島新聞集團（1105）公布截至今年6月底止中期業績，期內盈利急跌至47萬元，去年同期盈利為2,045.5萬元，每股盈利0.06仙，派中期股息2仙。,期內集團收入下跌5.04%至6.97億元，星島表示今年上半年整體廣告市場按年僅增長1%，印刷媒體市場（包括報章及雜誌）的廣告收入繼續錄得減少，加上白報紙價格自去年年底以來因供應短缺而持續上漲，不利集團期內的媒體業務表現。,星島管理層表示將繼續對所有運營部門實施優化，包括恪守嚴格的成本控制、簡化運作程序及提高工作流程效率。"
