Title,Publish date,Content,url
【一地兩檢】梁頌恆郭卓堅申臨時禁制令　下周二裁決　官質疑不頒令會否釀「不可逆」損失,"Fri, 10 Aug 2018 00:00:00  +0800",《廣深港高鐵（一地兩檢）條例》6月14日在立法會通過，同月22日刊憲成為香港法例，梁頌恆與「長洲覆核王」郭卓堅今向法庭申請臨時禁制令，要求暫緩一地兩檢在聆訊前執行。政府方強調一地兩檢並沒有違反一國兩制及《基本法》；惟法官周家明質疑，若法庭現時不頒下臨時禁制令，在此期間是否會對旅客造成不可逆轉的損失。政府方指，若有關人士不想承受風險，可以不乘搭高鐵。法官聽取雙方陳辭後，將於下周二（14日）頒下裁決。郭卓堅陳辭指，即使一地兩檢暫緩，高鐵仍能如期通車。他亦擔憂若高鐵於9月22日通車，但其覆核於10月30日勝訴，此時前若有港人因為政治犯罪，而被中國判處死刑，將會是無法補救。代表政府的資深大律師余若海指，法官只有在申請人理據表面理據是強而有力下，及在特殊情況，即申請人的利益直接受影響下，才能在此階段頒下臨時禁制令。余若海強調若一地兩檢無法實施，高鐵將不能如期通車。對於有人建議在福田口岸設置兩地兩檢，余若海指，福田及其他口岸均沒有出入境設備，並對於持有其他國家護照的旅客，會造成問題。余若海指出，人大常委會已曾表明，一地兩檢合乎一國兩制，亦沒有違反《基本法》，因此申請人的理據表面看來不成立。對於梁頌恆指，一地兩檢從字面看來已牴觸《基本法》多條條文，余若海質疑不能如此理解及解釋《基本法》。余若海質疑，若一地兩檢設置在羅湖，大家便不會質疑其合憲性。為方便及實際需要，一地兩檢必須在西九實施，余若海認為申請人將邊境及司法管轄權的概念混淆，指出本港有案例指，港人在港澳碼頭出境後，雖仍在香港境內，但已離開香港司法管轄區。余若海強調《基本法》從沒有列明，香港不能實施一地兩檢。而一地兩檢只適用於該口岸的出入境事宜，與在港其他範圍是否使用內地法無關。余若海提醒法官，現階段處理的問題，影響一個重大的基建工程，牽連香港旅遊業、就業機會、旅客行程及大眾期望等。梁頌恆認為法庭應比較頒下臨時禁制令與否的影響，余若海認為沒有必要在此階段比較，因有關影響是基於一地兩檢合憲性而衍生，與禁制令無關。余若海亦質疑，在一地兩檢實行下，梁頌恆的個人利益沒有受損，故不合乎頌下臨時禁制令的要求。惟法官周家明質疑，若果法庭現時不頒下臨時禁制令，但他日裁定一地兩檢違憲，在此期間是否的確會對旅客造成不可逆轉的損失。余若海指，此並非對是次申請人會造成的影響，法庭亦不能假設有上述情況出現。而且，若該人不想承受風險，可以不乘搭高鐵，可選擇在落馬洲或機場離境；乘搭高鐵乃是乘客自願的選擇。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533880792535.js
【巴士聽證會】九巴：研重設安全獎金　指實時車長監察系統不現實,"Fri, 10 Aug 2018 00:00:00  +0800",香港專營巴士服務獨立檢討委員會今日舉行聽證會，繼續由九巴管理層作供。九巴表示，未有考慮增設實時車長監察系統，但會考慮重新設立安全獎金，鼓勵車長安全駕駛。今早的聽證會主要討論九巴監察車長安全的系統。九巴前副車務總監程艾樂上月作供時表示，九巴曾研究一個實時車務管理系統，可實時收集車長加減速和煞車等資料，當數據超出界限值時，九巴督導會介入，惟其後九巴因為研發時間延誤，未有繼續研究該系統。九巴車務總監梁健宏今日作供時表示，不認同程艾樂的說法，強調當時只是研究實時車務管理系統，用作調配巴士，與車長駕駛安全無關。他承認，九巴內部曾提出要研究一個實時車長監察系統，與程艾樂所說的概念類似，亦知道黑盒技術可支援相關系統，但九巴認為有關建議不現實，因為會增加車長壓力，加上涉及大量人手，所以九巴未有採納有關建議。此外，九巴向委員會補交的電郵紀錄顯示，九巴安全及服務質量部，2014年曾研究29個急彎的安全指引，相關資料曾電郵予時任九巴董事總經理何達文及車務總監Owen Eckford。4個月後何離職，翌年Owen Eckford亦離開九巴，建議最終不了了之。委員會主席倫明高質疑，兩名管理層收到相關研究之後，曾經作出什麼跟進，九巴的電郵紀錄並無顯示，要求九巴提交公司內部保存資料的制度詳情，包括如何保存電郵等。此外，九巴主席梁乃鵬作供時表示，會考慮重新設立安全獎金制度，未必是大額獎金，但相信可鼓勵車長安全駕駛。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533881995074.js
稱高院新頒判詞或影響檢控涉手機偷拍案　律政司上訴終院,"Fri, 10 Aug 2018 00:00:00  +0800",中華基督教會協和小學3名女教師，被指把學校小一入學叩門面試試題及評分準則發送予友人等，她們及她們同為小學老師的友人，早前被裁定不誠實取用電腦罪名不成立。控方早前提出上訴，惟遭高院日前駁回，判詞並認為控方必須證明，被告是不法地取用電腦的資料，才能被裁定不誠實取用電腦罪成。律政司以是次裁決或影響律政司檢控涉及手機偷拍的案件，已展開法律程序上訴至終審法院。律政司回覆指，昨已將動議通知書，送交高等法院原訟法庭存檔，以求證明有關案件的決定，涉及具有重大而廣泛的重要性的法律論點。由於相關司法程序仍在進行，律政司不適宜評論。 另律政司就涉及以手機進行偷拍的案件，亦已作出相應措施。一名男教學助理被指於2015年使用手機，偷拍數名男子，他日前承認3項目的在於使其本人或他人不誠實地獲益而取用電腦罪，本於8月15日判刑。惟案件今突在西九龍裁判法院提堂，控方要求將案件押後4個月，以待律政司研究高院判辭，案件遂押後12月4日再訊，被告准繼續以500元保釋。在早前協和教師泄漏試題案中，暫委法官彭中屏在判辭中指，控罪中「不誠實取用電腦」，與「使用電腦」的意思不同，故控方必須證明被告是不法地取用電腦的資料，才能被裁定罪成。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533884694971.js
七旬翁巴士內跌死　涉事司機不服誤導警員罪成提上訴,"Fri, 10 Aug 2018 00:00:00  +0800",一輛九巴去年駛離青衣長亨邨巴士站時，一名70多歲的男乘客，疑因失平衡跌倒死亡，巴士司機其後向調查警員訛稱，自己當時並未開車，他早前被裁定誤導警務人員罪成，判囚4周。巴士司機今不服提上訴，法官表示，難以肯定司機是否須就乘客死亡負責，更笑言自己「每日都坐巴士」，明白司機無可能待所有乘客坐下後才開車。惟法官強調，本案所針對是誤導警員調查，毋須處理司機是否須對乘客死亡負責的問題。本案去年6月28日早上發生，當時事主拿着一輛手推車，登上停泊在青衣長亨邨巴士站的巴士，不久後上訴人關志遠（39歲）便開車離站。事主隨即失平衡跌倒，送院後不治。警方於同年7月3日向上訴人調查事件，他堅稱自己未曾開車。上訴方今陳辭時指出，警員當時先向上訴人查問案發過程，其後再向同車乘客查問，當時已事隔一段時間，該乘客亦曾指對事件的印象模糊，惟原審裁判官仍然信納其證供，定罪或有不穩妥之處。暫委法官林嘉欣其後稱，不知道現時是否有守則，要求巴士司機須待所有乘客坐下後才可以開車，惟據其「每日都坐巴士」的經驗，這是無可能的做法，因「有企位㗎嘛」。林官形容，事主跌倒後不幸去世為悲傷的事件，但上訴人是否須就事件承擔責任，則難以一概而論。惟林官表示，事實上他毋須考慮此事宜，因上訴人是向警員作出虛假陳述，影響警方調查。林官認為，上訴人的駕駛態度應與意外無關，亦難以肯定上訴人當時開車的做法是否有錯，不過強調他毋須處理。上訴方聞言稱，希望法庭能考慮案件的性質，改判緩刑或社會服務令。控方陳辭時則表示，本案的嚴重性為上訴人給予錯誤的口供，掩飾自己曾開車，避免要為事主死亡負上責任，強調原審裁判官的量刑無出錯。林官聽取雙方陳辭後，押後宣判。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533882312604.js
保險業人員冀毋須商務正裝上班　大棠見客經紀中暑,"Fri, 10 Aug 2018 00:00:00  +0800",本港今年5月錄得超過287小時酷熱天氣警告，在炎熱天氣下，保險從業員仍要按公司要求，穿着商務正裝上班。香港保險業總工會指出，此做法有礙職場健康。該會的一項調查亦發現，82.8%受訪市民，贊同保險從業員在酷熱天氣，可改穿商務便裝上班。男士的商務正裝，意即必須穿長袖襯衫、長西褲、西裝外套及打領呔，女士商務正裝則必須穿長西褲或過膝西裙、西裝外套及絲襪。若穿商務便裝，男士可不穿西裝外套及不打領呔，而女士可穿及膝西裙及可不穿絲襪。香港保險業總工會今年5月至7月期間進行調查，訪問443名18歲以上市民，71.6%受訪市民認為，若他們是保險從業員，於炎熱天氣下會選擇穿商務便裝；有82.8%市民贊同，保險從業員在酷熱天氣改穿商務便裝上班。另外，受訪者亦被問到保險從業員最重要的條件，有58.7%受訪者指是專業知識，僅3.6%受訪者認為是涉專業服裝。香港保險業總工會副會長張利敏指，30多歲的保險從業員Simon，於今年5月酷熱天氣警告下的日子，穿着商務正裝到元朗大棠「見客」，但不幸於路上中暑暈倒，希望各保險公司在員工衣著方面，能作彈性安排。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533885452515.js
公屋輪候時間再延長　平均5.3年　截至6月底近27萬宗申請,"Fri, 10 Aug 2018 00:00:00  +0800","公屋平均輪候時間再延長，一般申請人的平均輪候時間由5.1年，延長至最新的5.3年。房屋署網頁顯示，至今年6月底，有約268,500宗申請，其中約150,600宗是一般公屋申請，117,900宗則屬配額及計分制下的非長者一人申請。一般申請者的平均輪候時間是5.3年，當中長者一人申請者平均輪候時間是2.9年。房署對上一次的相關公布指，至今年3月底，一般申請人平均輪候時間達5.1年。",https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533889250385.js
社署司機秘撈　行車記錄簿造假　「呃鐘」59小時認罪候判,"Fri, 10 Aug 2018 00:00:00  +0800",社會福利署司機在工作時間「秘撈」兼任穿梭巴士司機，再在行車記錄簿上作虛假紀錄「呃鐘」59小時，今於西九龍裁判法院承認8項代理人使用虛假文件意圖欺騙其主事人罪，求情指當時為供養父母及負擔家庭支出才犯案。辯方求情坦言，55歲被告林秉輝承認事件涉及擅離職守，惟被告僅因經濟問題而犯案，他既要供養年邁雙親，亦要支付兩名孩子的補習費用，而非為了個人揮霍，當時未有影響原本在社署的工作。辯方又透露，被告在案發後仍在社署擔任司機，及後向社署申請進行兼職亦獲批。被告另外亦願意向政府賠償「呃鐘」所涉約3600元的款項，望可判罰社會服務令。案情指，被告2011年成為社署全職司機，一般負責運動緊急救援物資及行政支援，而被告亦需要自行填寫行車紀錄簿，並交予上級以證明他準時上下班及超時工作的時間。惟被告同時受聘於冠忠巴士的附屬公司，並在機場禁區內工作，被告在2016年1月1日至8月31日期間，其中37天未經批准缺勤逾59小時，以在機場禁區工作，並在行車紀錄簿上作出47項虛假紀錄，同時亦未獲社署批准進行其他受薪工作。案件押後至8月24日判刑以待被告的社會服務令報告。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533886954317.js
天文台發黃雨警告,"Fri, 10 Aug 2018 00:00:00  +0800",天文台今午4時15分發出發出黃色暴雨警告信號，指現時位於本港以南的一個強雷雨區，正逐漸靠近沿岸地區，市民應提高警惕。天文台指，香港廣泛地區已錄得或預料會有每小時雨量超過30毫米的大雨，且雨勢可能持續。部分低窪地帶及排水欠佳的地區會出現水淹，大雨亦可能引致山洪暴發。本港目前在熱帶低氣壓影響下，天文台繼發出一號戒備訊號後，今日下午亦發出雷暴警告，和指預料會有時速70公里或以上的陣風，吹襲香港。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533889119170.js
【沙中線工程問題】政府僅稱會展土瓜灣兩站附近設施樓宇無異常　未回應多個問題,"Sat, 11 Aug 2018 00:00:00  +0800",港鐵沙中線土瓜灣站及會展站，相繼被揭多個監測點沉降超標，水務署今午亦證實，會展站附近有水管因沉降而出現「角度變形」（即被「拗彎」）。政府於晚上9時半再發稿，回應土瓜灣站及會展站沉降事件，但僅稱相關部門在兩站附近的設施和樓宇，都無發現明顯異常，對連日來公眾關心的多個問題，則仍未有回應。政府發言人表示，路政署今日已聯同監察及核證顧問，實地視察會展站，範圍包括其負責審查且沉降超出最高水平的監測點附近地方，並無發現明顯結構安全問題。相關地下設施附近，亦未發現明顯異常狀況。署方並要求港鐵重新檢視所有監測數據，讓該署審核，在確保公眾安全後，才恢復挖掘工作。至於土瓜灣站附近的沉降，政府指路政署昨（10日）已聯同監核顧問及屋宇署，視察23幢受影響樓宇，同樣無發現明顯結構安全問題，相關地下設施附近亦未見明顯異常。但政府仍無回應多個相關問題，包括會展站沉降超標監測點的數目及相關幅度、為何當初知道沉降超標後仍無要求會展站停工、為何曾接獲土瓜灣站沉降超標的匯報而無對外公布，且向九龍城區議會稱各項監測數據正常，及整條沙中線尚有多少地盤出現沉降超標等。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180811/content_1533999349503.js
衝擊公民廣場案　雙學三子獲判刑期覆核起全部訟費,"Fri, 10 Aug 2018 00:00:00  +0800",被控衝擊政府總部東翼前地（又稱公民廣場）的「雙學三子」黃之鋒、羅冠聰和周永康，去年8月被上訴庭改判監禁，他們不服提上訴。終審法院早前裁定3人上訴得直，刑期維持原判，他們毋須再就本案服刑。3人其後申請訟費，惟律政司指須反映3人並未在所有事項中勝訴，反對部分事項的訟費申請。終院今頒下判辭指，由於3人終極勝訴，裁定他們可獲裁判法院刑期覆核至終院上訴的所有訟費。黃之鋒、羅冠聰和周永康前年於裁判法院被判處社會服務令或緩刑後，律政司曾於原審裁判官席前提出刑期覆核但失敗，其後向上訴庭申請刑期覆核則勝訴。雙學三子被改判囚後，先後向上訴庭申請上訴至終院證明書，再向終院申請保釋及上訴許可，故是次訟費爭議涉及5次審訊。律政司早前向終院呈交書面申請，提及不反對支付裁判法院覆核失敗的訟費，但反對支付上訴庭的刑期覆核、上訴至終院證明書、羅冠聰的保釋申請，以及終院上訴許可等多個事項的訟費。終院今於判辭中指出，就上訴許可的事宜，雖然律政司希望終院裁斷個別事項的訟費，以反映上訴方並非完全勝訴，惟終院拒絕逐個事項處理。終院認為，當時已就兩個理據涉及重大重要性或法律不公批出許可，且上訴方最終勝訴，理應可獲訟費。至於保釋及上訴至終院證明書，終院同樣認為因最終批出許可，上訴方可獲訟費，惟因上訴至終院證明書毋須3名律師處理，故此部分並無批足。至於上訴庭的刑期覆核，終院批評律政司一方面以涉及公眾利益為由作出申請，另一方面又要求法庭不要頒令訟費由公帑支付。終院強調此事宜涉及公眾利益，且上訴庭當時應駁回律政司的覆核申請，故准許上訴方可獲訟費。,https://news.mingpao.com/dat/ins/ins_web_tc/article1/20180810/content_1533890536051.js
